TransactionID,Sales_Rep_Name,Region,Product_Category,Revenue,Cost,Units_Sold,Sale_Date
1,Carol Davis,Latin America,Services,20750.92,12253.36,78,2023-04-24
2,Carol Davis,Europe,Hardware,32359.98,24595.2,13,2023-06-09
3,Carol Davis,Europe,Services,39268.4,23291.09,34,2023-03-25
4,Bob Smith,Europe,Hardware,28865.09,12428.74,90,2023-04-11
5,Frank Miller,Latin America,Software,3932.36,1778.18,63,2023-08-26
6,Carol Davis,Latin America,Services,48209.75,26052.04,26,2023-09-04
7,Frank Miller,Europe,Software,33055.35,20432.24,25,2023-06-19
8,Alice Johnson,Europe,Consulting,49856.54,37118.63,1,2023-09-01
9,Bob Smith,Europe,Consulting,13477.13,8685.85,20,2023-11-17
10,Eva Brown,Asia Pacific,Services,21188.96,16757.06,15,2023-08-17
11,Carol Davis,Latin America,Services,24474.26,7469.31,21,2023-08-26
12,Alice Johnson,Asia Pacific,Hardware,48997.22,26134.68,92,2023-05-19
13,Alice Johnson,Asia Pacific,Consulting,8079.98,3889.0,99,2023-08-12
14,Alice Johnson,North America,Consulting,15606.39,6063.92,13,2023-05-31
15,Eva Brown,North America,Services,30287.4,12633.44,84,2023-02-10
16,Carol Davis,Latin America,Services,37277.72,15418.04,84,2023-11-30
17,Eva Brown,Latin America,Software,38674.17,27501.44,4,2023-07-21
18,Carol Davis,Europe,Services,44751.74,26480.82,60,2023-08-27
19,David Wilson,Latin America,Hardware,38301.63,19173.66,94,2023-02-20
20,David Wilson,North America,Hardware,2365.46,1323.14,95,2023-11-09
21,Eva Brown,Asia Pacific,Consulting,8713.33,6309.4,41,2023-06-14
22,Eva Brown,Europe,Hardware,35684.6,20041.9,4,2023-07-15
23,Carol Davis,North America,Consulting,48747.95,17027.61,63,2023-10-17
24,Bob Smith,Europe,Consulting,5931.5,3693.96,49,2023-10-16
25,Carol Davis,Asia Pacific,Services,5568.06,3489.03,19,2023-11-10
26,Eva Brown,Latin America,Consulting,47637.19,29136.66,13,2023-09-29
27,Carol Davis,Latin America,Services,41576.83,31637.33,80,2023-03-08
28,Carol Davis,Europe,Software,5195.86,2110.14,20,2023-04-30
29,Frank Miller,North America,Hardware,32028.51,25582.75,72,2023-01-30
30,Frank Miller,Asia Pacific,Services,9565.87,3196.97,11,2023-03-24
31,David Wilson,Europe,Hardware,13660.83,9422.01,21,2023-12-23
32,Carol Davis,Europe,Software,40023.96,24310.21,28,2023-08-02
33,Bob Smith,Latin America,Software,29574.11,20577.32,80,2023-09-18
34,Bob Smith,Europe,Consulting,23881.25,11403.18,39,2023-08-16
35,Carol Davis,Latin America,Hardware,3110.8,2484.33,67,2023-12-13
36,Alice Johnson,Asia Pacific,Software,22348.26,8112.45,95,2023-11-09
37,Bob Smith,North America,Consulting,20434.37,12648.67,30,2023-05-20
38,Bob Smith,Asia Pacific,Hardware,28982.88,22657.09,8,2023-11-07
39,Bob Smith,Latin America,Services,14641.3,8999.71,32,2023-05-01
40,Carol Davis,Europe,Hardware,2032.28,1166.4,76,2023-05-29
41,David Wilson,North America,Software,20892.25,10707.29,75,2023-03-31
42,Bob Smith,North America,Consulting,6683.41,4255.84,63,2023-09-24
43,Eva Brown,Asia Pacific,Consulting,10133.14,7165.37,59,2023-05-02
44,Frank Miller,North America,Hardware,5874.23,3000.27,34,2023-12-24
45,Frank Miller,Latin America,Consulting,39416.08,31336.17,20,2023-08-02
46,Carol Davis,Latin America,Services,27171.6,14353.03,36,2023-02-12
47,Eva Brown,Latin America,Software,1948.33,860.95,35,2023-10-26
48,Bob Smith,Europe,Hardware,46823.46,28040.16,6,2023-07-17
49,Frank Miller,North America,Consulting,22288.56,7454.04,4,2023-10-08
50,Eva Brown,North America,Software,11261.17,4496.82,44,2023-02-02
51,Bob Smith,North America,Hardware,19513.52,8995.91,84,2023-07-08
52,Alice Johnson,Latin America,Hardware,14196.1,9882.62,46,2023-08-27
53,Carol Davis,North America,Services,31178.48,12245.9,31,2023-12-22
54,Eva Brown,North America,Hardware,1031.64,626.55,2,2023-11-20
55,Carol Davis,Europe,Services,29758.47,23551.67,70,2023-03-11
56,Alice Johnson,Europe,Hardware,32140.98,21704.76,39,2023-03-28
57,Eva Brown,Latin America,Services,42280.29,22735.39,27,2023-06-26
58,Carol Davis,North America,Services,11471.32,8099.68,31,2023-12-25
59,Carol Davis,North America,Services,28811.69,10383.51,38,2023-10-29
