FeedbackID,CustomerID,Feedback_Text,Contact_Info,Feedback_Date
1,12,Highly recommend this item,bob.wilson@test.org,2024-02-23
2,40,   Excellent service   ,555-123-4567,2024-01-21
3,34,Poor quality control,jane_smith@company.com,2023-09-02
4,1,"average product, nothing special",jane_smith@company.com,2023-08-21
5,47,AMAZING customer support!!!,555-123-4567,2023-04-24
6,13,AMAZING customer support!!!,john.doe@email.com,2023-04-16
7,13,"average product, nothing special",(555) 987-6543,2024-03-13
8,37,good VALUE for money,(555) 987-6543,2023-07-15
9,49,Highly recommend this item,invalid-email,2023-03-03
10,23,Highly recommend this item,john.doe@email.com,2023-10-18
11,24,   Excellent service   ,555-123-4567,2023-10-10
12,35,Great product! Love it!,invalid-email,2023-11-05
13,3,Poor quality control,invalid-email,2023-07-12
14,20,"terrible quality, very disappointed",bob.wilson@test.org,2023-06-27
15,38,Highly recommend this item,(555) 987-6543,2023-02-23
16,15,   Excellent service   ,(555) 987-6543,2023-12-01
17,45,"average product, nothing special",jane_smith@company.com,2023-04-08
18,5,good VALUE for money,bob.wilson@test.org,2023-04-12
19,29,Bad experience with delivery,invalid-email,2023-01-23
20,27,Bad experience with delivery,invalid-email,2023-04-23
21,21,"terrible quality, very disappointed",555-123-4567,2023-09-26
22,16,   Excellent service   ,invalid-email,2024-02-03
23,2,"average product, nothing special",invalid-email,2024-02-29
24,17,Highly recommend this item,jane_smith@company.com,2023-11-25
25,47,"terrible quality, very disappointed",john.doe@email.com,2024-03-13
26,9,AMAZING customer support!!!,invalid-email,2024-02-19
27,8,"terrible quality, very disappointed",(555) 987-6543,2024-02-02
28,8,good VALUE for money,jane_smith@company.com,2023-09-29
29,46,Great product! Love it!,555-123-4567,2024-01-16
30,11,AMAZING customer support!!!,555-123-4567,2023-04-14
31,35,good VALUE for money,(555) 987-6543,2023-03-30
32,42,"average product, nothing special",john.doe@email.com,2023-05-13
33,17,Great product! Love it!,(555) 987-6543,2023-07-31
34,5,Highly recommend this item,invalid-email,2023-05-27
35,41,good VALUE for money,jane_smith@company.com,2024-01-22
36,38,"average product, nothing special",(555) 987-6543,2023-12-04
37,15,Great product! Love it!,jane_smith@company.com,2024-01-18
38,29,good VALUE for money,bob.wilson@test.org,2023-12-13
39,44,Bad experience with delivery,invalid-email,2023-04-06
40,5,Bad experience with delivery,bob.wilson@test.org,2023-10-27
41,10,Great product! Love it!,jane_smith@company.com,2023-02-22
42,46,Great product! Love it!,invalid-email,2023-01-03
43,49,Bad experience with delivery,jane_smith@company.com,2023-06-09
44,15,"terrible quality, very disappointed",bob.wilson@test.org,2023-10-14
45,22,"terrible quality, very disappointed",bob.wilson@test.org,2023-05-14
46,25,"average product, nothing special",john.doe@email.com,2023-08-11
47,29,Outstanding performance,555-123-4567,2023-12-07
48,44,good VALUE for money,555-123-4567,2023-02-11
49,24,   Excellent service   ,invalid-email,2023-01-08
50,48,Outstanding performance,jane_smith@company.com,2023-06-17
51,41,   Excellent service   ,john.doe@email.com,2023-12-08
52,39,   Excellent service   ,555-123-4567,2023-07-20
53,15,Outstanding performance,invalid-email,2023-07-28
54,19,good VALUE for money,bob.wilson@test.org,2024-02-24
55,6,Poor quality control,bob.wilson@test.org,2024-03-30
56,37,Bad experience with delivery,555-123-4567,2023-11-29
57,17,"average product, nothing special",jane_smith@company.com,2023-10-22
58,21,Outstanding performance,jane_smith@company.com,2024-03-13
59,45,Bad experience with delivery,jane_smith@company.com,2023-06-28
60,28,good VALUE for money,john.doe@email.com,2023-10-19
61,36,AMAZING customer support!!!,(555) 987-6543,2023-06-08
62,9,Poor quality control,bob.wilson@test.org,2023-08-28
63,26,AMAZING customer support!!!,bob.wilson@test.org,2024-01-28
64,33,   Excellent service   ,(555) 987-6543,2023-09-11
65,36,AMAZING customer support!!!,(555) 987-6543,2023-07-18
66,12,Poor quality control,invalid-email,2023-03-20
67,11,   Excellent service   ,555-123-4567,2024-01-15
68,35,"terrible quality, very disappointed",bob.wilson@test.org,2024-02-02
69,19,"average product, nothing special",invalid-email,2023-04-03
70,15,Great product! Love it!,jane_smith@company.com,2023-02-17
71,41,"terrible quality, very disappointed",john.doe@email.com,2023-08-10
72,12,good VALUE for money,bob.wilson@test.org,2023-12-11
73,12,Outstanding performance,555-123-4567,2023-02-14
74,16,Poor quality control,555-123-4567,2023-07-05
75,27,"average product, nothing special",jane_smith@company.com,2023-04-16
76,30,"average product, nothing special",jane_smith@company.com,2024-01-11
77,38,Great product! Love it!,invalid-email,2023-01-28
78,26,"average product, nothing special",bob.wilson@test.org,2023-12-26
79,17,AMAZING customer support!!!,john.doe@email.com,2024-03-12
80,26,good VALUE for money,555-123-4567,2024-03-03
81,22,Highly recommend this item,555-123-4567,2023-01-03
82,9,"average product, nothing special",invalid-email,2023-07-28
83,37,"terrible quality, very disappointed",(555) 987-6543,2023-03-30
84,35,Poor quality control,jane_smith@company.com,2023-11-07
85,49,Outstanding performance,jane_smith@company.com,2023-11-30
86,18,"terrible quality, very disappointed",jane_smith@company.com,2023-02-21
87,20,"average product, nothing special",john.doe@email.com,2023-04-24
88,49,"average product, nothing special",invalid-email,2023-06-08
89,23,   Excellent service   ,invalid-email,2023-12-06
90,48,AMAZING customer support!!!,bob.wilson@test.org,2023-07-07
91,15,   Excellent service   ,invalid-email,2023-10-29
92,5,Bad experience with delivery,invalid-email,2024-01-20
93,46,Outstanding performance,jane_smith@company.com,2023-05-17
94,35,Bad experience with delivery,555-123-4567,2023-10-20
95,34,AMAZING customer support!!!,bob.wilson@test.org,2023-03-25
96,1,Poor quality control,john.doe@email.com,2023-06-07
97,40,   Excellent service   ,555-123-4567,2023-10-02
98,30,"terrible quality, very disappointed",jane_smith@company.com,2023-03-28
99,38,good VALUE for money,invalid-email,2023-09-24
100,50,Poor quality control,bob.wilson@test.org,2023-09-02
