TransactionID,Customer_Name,Product_Category,Sales_Amount,Purchase_Date,Quantity
1,,Home,362.31745432718526,,2
2,Alice Brown,Clothing,573.0790787232343,2023-10-21,3
3,Jane Doe,Electronics,487.68743946538234,2023-12-28,-1
4,Jane Doe,Electronics,5000.0,2023-06-16,7
5,John Smith,Books,344.17460709528916,2023-05-05,100
6,John Smith,Books,434.9526608334917,2023-11-28,4
7,Jane Doe,Home,489.0863476063215,2023-08-17,0
8,Jane Doe,Electronics,536.9201866175677,2023-05-17,7
9,Jane Doe,Clothing,793.3933042167419,2023-08-13,3
10,Jane Doe,electronics,649.4286464799341,2023-10-16,2
11,Bob Johnson,ELECTRONICS,595.7247234652992,2023-10-20,5
12,John Smith,Books,742.6122814017657,2023-06-26,7
13,Jane Doe,ELECTRONICS,730.3685927016364,2023-05-08,100
14,Alice Brown,electronics,675.6296684782167,2023-12-20,100
15,John Smith,ELECTRONICS,360.03698844591554,2023-08-22,2
16,Bob Johnson,Books,246.26551014760904,,4
17,Alice Brown,electronics,309.79852172917526,2023-10-22,100
18,John Smith,electronics,,2023-05-21,8
19,Jane Doe,ELECTRONICS,343.87468822027586,2023-06-22,4
20,Jane Doe,ELECTRONICS,715.3258093180616,2023-01-25,6
21,,Books,483.1179871114223,2023-04-04,8
22,Bob Johnson,Books,455.584557338099,2023-03-05,0
23,Jane Doe,Home,,2023-01-11,2
24,Jane Doe,Clothing,690.4821820753102,2023-08-08,8
25,Jane Doe,ELECTRONICS,334.7056515320187,2023-12-05,1
26,,Clothing,531.2289113333248,2023-09-12,4
27,Alice Brown,ELECTRONICS,604.5938374782748,2023-03-09,100
28,Jane Doe,electronics,689.9167691616125,2023-09-02,6
29,Alice Brown,Home,549.7528341578109,2023-10-01,2
30,Alice Brown,Books,410.875300009605,2023-01-22,8
31,Jane Doe,Books,714.7613969394033,,10
32,John Smith,electronics,313.9513641913819,2023-10-05,2
33,Bob Johnson,Home,430.86479765673204,2023-03-14,5
34,Alice Brown,electronics,564.0427062374322,2023-06-16,-1
35,John Smith,Clothing,863.4933296092704,2023-07-09,10
36,Jane Doe,Books,759.7298786017336,2023-04-24,0
37,Bob Johnson,Home,442.9541892081311,2023-11-03,10
38,Bob Johnson,Books,888.1919946174509,2023-01-17,7
39,John Smith,electronics,801.9355789635673,2023-08-26,8
40,Alice Brown,Home,440.76239949018463,2023-09-16,3
41,,ELECTRONICS,788.7456563040885,2023-11-04,4
42,Alice Brown,Clothing,453.04843735867786,2023-05-28,0
43,Bob Johnson,ELECTRONICS,,2023-12-28,4
44,John Smith,Home,583.2906393259483,2023-10-25,2
45,Jane Doe,electronics,,2023-01-08,10
46,John Smith,Books,8000.0,,0
47,John Smith,electronics,726.0351672360516,2023-07-17,6
48,Alice Brown,Home,,2023-04-27,-1
49,John Smith,ELECTRONICS,506.81019779716866,2023-12-19,1
50,Jane Doe,Home,734.2661649149044,2023-02-02,0
51,,ELECTRONICS,288.4693829353186,2023-05-10,-1
52,John Smith,electronics,777.8366640589959,2023-05-26,-1
53,Alice Brown,Clothing,469.8527849747956,2023-03-28,7
54,Alice Brown,Clothing,577.2001505698222,2023-08-02,-1
55,Alice Brown,Electronics,519.8966411420746,2023-07-03,4
56,Bob Johnson,Electronics,835.1760112613551,2023-08-06,8
57,John Smith,ELECTRONICS,824.8989683271418,2023-01-23,4
58,Bob Johnson,Books,,2023-11-07,7
59,Bob Johnson,Books,613.6522326055567,2023-01-07,1
60,Jane Doe,Books,615.2983663384591,2023-09-12,3
61,,Books,,,2
62,John Smith,Electronics,565.8835481226881,2023-03-26,5
63,John Smith,Clothing,410.0433276023546,2023-04-12,5
64,Bob Johnson,ELECTRONICS,496.4587704749393,2023-01-24,3
65,Bob Johnson,Books,768.4501678571078,2023-05-18,100
66,Bob Johnson,ELECTRONICS,734.4958277779757,2023-09-26,100
67,Alice Brown,Electronics,227.29199431064228,2023-03-26,0
68,John Smith,Clothing,809.0392677710727,2023-09-29,0
69,Jane Doe,Clothing,640.6513375494883,2023-04-10,9
70,John Smith,Clothing,277.75468854529106,2023-06-05,-1
71,Bob Johnson,ELECTRONICS,101.0629355522326,2023-09-13,100
72,Jane Doe,Electronics,781.0621389985627,2023-08-28,0
73,Alice Brown,ELECTRONICS,,2023-04-25,5
74,Jane Doe,Electronics,531.3555511505208,2023-05-25,100
75,Alice Brown,electronics,261.7336985833215,2023-09-28,10
76,,electronics,388.8985536810035,,6
77,John Smith,Electronics,417.07483890310004,2023-02-22,3
78,John Smith,Books,603.3814366749383,2023-08-15,0
79,Bob Johnson,Clothing,570.8037248924805,2023-11-10,0
80,Jane Doe,electronics,839.6355254524225,2023-10-07,2
81,,electronics,268.8689401912314,2023-10-13,7
82,Jane Doe,Clothing,,2023-05-24,0
83,John Smith,electronics,469.7418080761148,2023-04-10,10
