sale_id,customer_name,product_name,sale_amount,sale_date,region,sales_rep
1,BOB JOHNSON,IPHONE 14 PRO,763.1325999018354,,east,Carol D.
2,BOB JOHNSON,iPhone 14 Pro,574.9229227639726,2024-01-24,North,Carol D.
3,,iPhone 14 Pro,929.6075209532207,2023-12-04,east,Bob S.
4,John Smith,DELL XPS 13,910.8339945095433,2023-07-15,North,Carol D.
5,BOB JOHNSON,iphone 14 pro,1029.347477883119,2024-01-20,east,Carol D.
6,Carol Davis-Wilson,DELL XPS 13,1055.1710883737082,2023-04-11,east,Alice J.
7,Mike O'Connor,Dell xps 13,100000.0,2024-01-21,West,Bob S.
8,nan,Samsung Galaxy S23,497.18125947276366,2023-10-16,SOUTH,Bob S.
9,jane doe,Galaxy S23,321.77388670184945,2023-03-23,east,Alice J.
10,John Smith,Samsung Galaxy S23,542.3992147163743,2023-11-01,east,Carol D.
11,  Alice Brown  ,iPhone 14 Pro,1010.5803373693523,2023-11-15,east,Carol D.
12,,DELL XPS 13,1257.2296231459097,2023-01-16,North,Bob S.
13,david.wilson@email.com,IPHONE 14 PRO,463.0820760793732,2024-01-12,North,Carol D.
14,david.wilson@email.com,DELL XPS 13,1102.419208594958,2023-04-05,North,Carol D.
15,jane doe,Galaxy S23,262.1977804871967,2023-12-15,SOUTH,Carol D.
16,John Smith,samsung galaxy s23,,2024-02-25,West,Bob S.
17,John Smith,iPhone 14 Pro,641.9438959087666,2023-06-13,North,Carol D.
18,  Alice Brown  ,Galaxy S23,1015.6553963967232,2024-02-21,West,Alice J.
19,John Smith,Dell xps 13,643.1673977558462,2023-02-19,North,Bob S.
20,,IPHONE 14 PRO,,2024-02-03,West,Carol D.
21,jane doe,IPHONE 14 PRO,1371.2478475919384,2023-11-12,West,Carol D.
22,  Alice Brown  ,iPhone 14 Pro,967.5990890652023,2024-02-11,North,Alice J.
23,BOB JOHNSON,IPHONE 14 PRO,474.1769961460494,2023-09-02,West,Alice J.
24,Carol Davis-Wilson,iphone 14 pro,965.0209764460221,2023-12-30,North,Alice J.
25,,Dell xps 13,1211.4182784347554,2023-05-21,West,Carol D.
26,david.wilson@email.com,Galaxy S23,,2024-03-09,SOUTH,Bob S.
27,Mike O'Connor,Dell xps 13,459.95987022581215,2023-02-11,North,Carol D.
28,,Samsung Galaxy S23,798.3095979414107,2023-06-02,North,Carol D.
29,david.wilson@email.com,samsung galaxy s23,1066.5539875659388,2023-06-14,SOUTH,Bob S.
30,  Alice Brown  ,iPhone 14 Pro,763.84926251994,2024-02-01,West,Bob S.
31,Mike O'Connor,iPhone 14 Pro,448.77897857390474,2023-10-21,North,Bob S.
32,  Alice Brown  ,iphone 14 pro,769.3180527641571,2023-02-22,east,Carol D.
33,Mike O'Connor,iPhone 14 Pro,1068.558590848074,2023-05-15,North,Carol D.
34,david.wilson@email.com,iphone 14 pro,1121.9574659441864,2023-11-12,West,Bob S.
35,BOB JOHNSON,samsung galaxy s23,911.2225285778225,2024-03-19,east,Carol D.
36,,Galaxy S23,,2023-03-23,West,Bob S.
37,david.wilson@email.com,Dell XPS 13,504.0796550594816,2024-01-26,North,Alice J.
38,,Dell xps 13,943.0026379960034,2023-10-02,SOUTH,Bob S.
39,Mike O'Connor,DELL XPS 13,284.6432480150744,2023-05-24,SOUTH,Bob S.
40,John Smith,Samsung Galaxy S23,1012.3920469716803,2024-03-01,SOUTH,Bob S.
41,Carol Davis-Wilson,samsung galaxy s23,781.8942287984584,2023-07-03,North,Carol D.
42,John Smith,Dell XPS 13,533.8127330604548,2023-01-03,North,Alice J.
43,Carol Davis-Wilson,iphone 14 pro,487.8905191788448,2023-09-01,North,Bob S.
44,nan,iPhone 14 Pro,351.60269251664386,2023-05-13,SOUTH,Carol D.
45,John Smith,Dell xps 13,754.2141252908378,2023-02-02,SOUTH,Alice J.
46,Mike O'Connor,Dell xps 13,640.3888127741646,2023-10-10,West,Bob S.
47,  Alice Brown  ,DELL XPS 13,480.94836244562254,2024-01-24,North,Bob S.
48,nan,iPhone 14 Pro,141.13113341868518,2023-07-01,West,Alice J.
49,John Smith,iPhone 14 Pro,634.4156209859821,2023-03-16,SOUTH,Alice J.
50,jane doe,iPhone 14 Pro,1509.352738457152,2024-03-20,North,Bob S.
51,John Smith,DELL XPS 13,666.0177360672183,,North,Bob S.
52,Mike O'Connor,iphone 14 pro,1117.458389803254,2024-01-12,North,Carol D.
53,BOB JOHNSON,samsung galaxy s23,,2023-01-29,West,Carol D.
54,jane doe,IPHONE 14 PRO,594.7778211161781,2024-03-21,West,Carol D.
55,BOB JOHNSON,Dell XPS 13,,2023-01-21,SOUTH,Carol D.
56,nan,Dell xps 13,,2024-01-15,West,Alice J.
57,,Dell xps 13,419.5780835914384,2023-11-09,SOUTH,Carol D.
58,Mike O'Connor,DELL XPS 13,884.0923333453704,2023-08-02,West,Bob S.
59,Carol Davis-Wilson,IPHONE 14 PRO,488.5479054328967,2023-12-05,SOUTH,Bob S.
60,BOB JOHNSON,Galaxy S23,702.095101109745,2023-02-14,east,Bob S.
61,BOB JOHNSON,DELL XPS 13,915.1265031282225,2023-09-28,North,Carol D.
62,BOB JOHNSON,IPHONE 14 PRO,1100.8962270088261,2023-11-16,SOUTH,Carol D.
63,nan,samsung galaxy s23,1462.7152316477852,2023-05-20,North,Alice J.
64,david.wilson@email.com,Samsung Galaxy S23,799.0300689912484,2023-03-25,West,Alice J.
65,  Alice Brown  ,DELL XPS 13,437.58111302501425,2023-12-01,east,Carol D.
66,John Smith,IPHONE 14 PRO,775.9470170705456,2023-03-10,east,Bob S.
67,Mike O'Connor,Samsung Galaxy S23,692.3535865762833,2023-10-21,North,Carol D.
68,Mike O'Connor,IPHONE 14 PRO,379.30707239350477,2023-04-15,North,Carol D.
69,Carol Davis-Wilson,Samsung Galaxy S23,724.3580809326442,2023-05-10,east,Bob S.
70,BOB JOHNSON,iphone 14 pro,498.42723235391577,2023-09-01,east,Carol D.
71,  Alice Brown  ,Samsung Galaxy S23,770.5990576264504,2023-02-12,east,Alice J.
72,John Smith,DELL XPS 13,818.65823248953,2023-12-22,SOUTH,Carol D.
73,nan,Samsung Galaxy S23,1300.4326637209488,2023-07-03,SOUTH,Carol D.
74,david.wilson@email.com,samsung galaxy s23,701.044003987681,2024-02-04,east,Alice J.
75,John Smith,IPHONE 14 PRO,377.43118646568684,2023-01-09,North,Carol D.
76,Carol Davis-Wilson,iphone 14 pro,560.0837508468197,2024-03-23,North,Carol D.
77,  Alice Brown  ,IPHONE 14 PRO,424.0437809940699,2023-01-02,North,Alice J.
78,  Alice Brown  ,iPhone 14 Pro,,2023-08-31,east,Bob S.
79,John Smith,IPHONE 14 PRO,734.0878377190281,2023-11-15,West,Carol D.
80,,samsung galaxy s23,949.0183381823516,2023-06-16,east,Alice J.
81,Carol Davis-Wilson,iphone 14 pro,805.9435439660914,2023-09-08,east,Alice J.
82,david.wilson@email.com,DELL XPS 13,1148.2862517075189,2023-11-18,SOUTH,Bob S.
83,BOB JOHNSON,DELL XPS 13,285.77899133481253,2023-02-26,North,Alice J.
84,Carol Davis-Wilson,iPhone 14 Pro,32.93475422542804,2023-10-26,North,Carol D.
85,nan,DELL XPS 13,999.9261778073022,2023-08-17,West,Bob S.
86,jane doe,Dell xps 13,-149.94063880469605,2023-11-03,east,Carol D.
87,Carol Davis-Wilson,IPHONE 14 PRO,888.4875248145405,2023-04-21,east,Bob S.
88,nan,Dell XPS 13,1106.2012742788067,2023-11-27,east,Alice J.
89,david.wilson@email.com,iphone 14 pro,1026.6005531848687,2023-06-16,SOUTH,Carol D.
90,,iphone 14 pro,704.8925336614143,2023-05-03,North,Carol D.
91,BOB JOHNSON,samsung galaxy s23,1185.3335922419735,2023-06-18,North,Bob S.
92,BOB JOHNSON,Dell XPS 13,1228.8296721065255,2023-02-05,east,Bob S.
93,John Smith,DELL XPS 13,974.5718660307889,2023-11-24,North,Bob S.
94,david.wilson@email.com,Dell xps 13,915.8013118330838,2023-05-30,SOUTH,Alice J.
95,,iphone 14 pro,511.16316039632676,2023-11-01,east,Alice J.
96,david.wilson@email.com,samsung galaxy s23,689.8950716468988,2024-01-15,North,Alice J.
97,BOB JOHNSON,iphone 14 pro,477.05638669352817,2023-08-11,North,Alice J.
98,,Dell XPS 13,690.705866978851,2023-07-29,east,Carol D.
99,Mike O'Connor,samsung galaxy s23,,2024-01-14,east,Alice J.
100,,Dell xps 13,678.7427974433241,2023-04-28,east,Alice J.
101,Mike O'Connor,Dell XPS 13,989.173910460724,,North,Bob S.
102,david.wilson@email.com,samsung galaxy s23,1010.9183751067512,2023-12-07,SOUTH,Alice J.
103,,samsung galaxy s23,829.9324845932209,2023-04-01,SOUTH,Alice J.
104,John Smith,Galaxy S23,626.1702338649102,2023-02-21,West,Carol D.
105,BOB JOHNSON,Samsung Galaxy S23,907.9772589801773,2023-07-10,North,Bob S.
106,Carol Davis-Wilson,DELL XPS 13,1149.9117126276512,2023-09-15,SOUTH,Alice J.
107,,Galaxy S23,872.2073955524136,2023-05-17,SOUTH,Carol D.
108,Carol Davis-Wilson,IPHONE 14 PRO,,2023-05-21,North,Bob S.
